id,name,slug,created_at
1,Home,home,2020-06-10 07:46:26
2,Blogs,blogs,2020-06-10 07:46:40
3,Workforce Development,workforce_development,2020-06-10 07:46:40
4,Teaching and Learning,teaching_and_learning,2020-06-10 07:46:40
5,Organization,organizations,2020-06-10 07:46:40
6,Projects,projects,2020-06-10 07:46:40
7,YouthWorksPH,youth_works_ph,2020-06-10 07:46:40
8,News,news,2020-06-10 07:46:40
9,Careers,careers,2020-06-10 07:46:40
10,Contact Us,contact_us,2020-06-10 07:46:40
11,Footer,footer,2020-06-10 07:46:40
